Date,humidity
2009-01-01,37.125
2009-01-02,45.0
2009-01-03,48.625
2009-01-04,51.875
2009-01-05,51.208333333333336
2009-01-06,46.291666666666664
2009-01-07,40.916666666666664
2009-01-08,43.458333333333336
2009-01-09,55.625
2009-01-10,54.708333333333336
2009-01-11,45.666666666666664
2009-01-12,43.833333333333336
2009-01-13,41.541666666666664
2009-01-14,38.75
2009-01-15,37.833333333333336
2009-01-16,38.5
2009-01-17,41.833333333333336
2009-01-18,40.375
2009-01-19,35.916666666666664
2009-01-20,30.041666666666668
2009-01-21,30.708333333333332
2009-01-22,33.666666666666664
2009-01-23,26.791666666666668
2009-01-24,24.708333333333332
2009-01-25,30.583333333333332
2009-01-26,31.25
2009-01-27,32.583333333333336
2009-01-28,31.208333333333332
2009-01-29,28.125
2009-01-30,29.083333333333332
2009-01-31,30.0
2009-02-01,25.208333333333332
2009-02-02,21.791666666666668
2009-02-03,25.125
2009-02-04,29.875
2009-02-05,35.875
2009-02-06,30.708333333333332
2009-02-07,25.5
2009-02-08,27.583333333333332
2009-02-09,25.833333333333332
2009-02-10,28.458333333333332
2009-02-11,38.041666666666664
2009-02-12,33.5
2009-02-13,40.833333333333336
2009-02-14,43.708333333333336
2009-02-15,33.875
2009-02-16,29.25
2009-02-17,36.666666666666664
2009-02-18,32.958333333333336
2009-02-19,26.333333333333332
2009-02-20,27.125
2009-02-21,28.5
2009-02-22,29.416666666666668
2009-02-23,26.583333333333332
2009-02-24,24.458333333333332
2009-02-25,32.458333333333336
2009-02-26,26.375
2009-02-27,18.666666666666668
2009-02-28,18.625
2009-03-01,22.125
2009-03-02,18.583333333333332
2009-03-03,17.541666666666668
2009-03-04,20.208333333333332
2009-03-05,26.583333333333332
2009-03-06,24.916666666666668
2009-03-07,19.916666666666668
2009-03-08,24.708333333333332
2009-03-09,33.458333333333336
2009-03-10,24.583333333333332
2009-03-11,29.333333333333332
2009-03-12,24.833333333333332
2009-03-13,37.583333333333336
2009-03-14,58.291666666666664
2009-03-15,51.083333333333336
2009-03-16,38.416666666666664
2009-03-17,23.291666666666668
2009-03-18,24.541666666666668
2009-03-19,31.708333333333332
2009-03-20,38.375
2009-03-21,41.125
2009-03-22,33.541666666666664
2009-03-23,28.25
2009-03-24,35.708333333333336
2009-03-25,31.291666666666668
2009-03-26,30.125
2009-03-27,35.291666666666664
2009-03-28,35.958333333333336
2009-03-29,34.208333333333336
2009-03-30,33.875
2009-03-31,33.25
2009-04-01,29.958333333333332
2009-04-02,38.0
2009-04-03,34.833333333333336
2009-04-04,44.833333333333336
2009-04-05,44.916666666666664
2009-04-06,30.916666666666668
2009-04-07,28.166666666666668
2009-04-08,36.875
2009-04-09,39.166666666666664
2009-04-10,24.916666666666668
2009-04-11,19.75
2009-04-12,23.041666666666668
2009-04-13,28.708333333333332
2009-04-14,34.708333333333336
2009-04-15,34.125
2009-04-16,37.75
2009-04-17,33.5
2009-04-18,28.458333333333332
2009-04-19,38.541666666666664
2009-04-20,56.333333333333336
2009-04-21,56.833333333333336
2009-04-22,49.041666666666664
2009-04-23,41.666666666666664
2009-04-24,22.583333333333332
2009-04-25,18.875
2009-04-26,19.958333333333332
2009-04-27,36.166666666666664
2009-04-28,46.833333333333336
2009-04-29,51.916666666666664
2009-04-30,54.125
2009-05-01,54.125
2009-05-02,44.0
2009-05-03,38.125
2009-05-04,43.958333333333336
2009-05-05,55.666666666666664
2009-05-06,51.291666666666664
2009-05-07,40.833333333333336
2009-05-08,35.791666666666664
2009-05-09,37.166666666666664
2009-05-10,42.041666666666664
2009-05-11,47.708333333333336
2009-05-12,52.083333333333336
2009-05-13,60.958333333333336
2009-05-14,60.041666666666664
2009-05-15,61.791666666666664
2009-05-16,60.416666666666664
2009-05-17,54.041666666666664
2009-05-18,53.416666666666664
2009-05-19,67.54166666666667
2009-05-20,71.16666666666667
2009-05-21,74.08333333333333
2009-05-22,72.04166666666667
2009-05-23,63.583333333333336
2009-05-24,61.458333333333336
2009-05-25,58.791666666666664
2009-05-26,59.0
2009-05-27,59.708333333333336
2009-05-28,60.333333333333336
2009-05-29,62.0
2009-05-30,64.04166666666667
2009-05-31,62.0
2009-06-01,67.33333333333333
2009-06-02,68.08333333333333
2009-06-03,68.79166666666667
2009-06-04,72.75
2009-06-05,76.04166666666667
2009-06-06,80.41666666666667
2009-06-07,89.29166666666667
2009-06-08,77.66666666666667
2009-06-09,73.83333333333333
2009-06-10,77.0
2009-06-11,74.5
2009-06-12,72.54166666666667
2009-06-13,69.08333333333333
2009-06-14,65.66666666666667
2009-06-15,64.95833333333333
2009-06-16,66.70833333333333
2009-06-17,66.25
2009-06-18,66.41666666666667
2009-06-19,72.16666666666667
2009-06-20,89.95833333333333
2009-06-21,84.41666666666667
2009-06-22,82.0
2009-06-23,88.5
2009-06-24,85.375
2009-06-25,85.20833333333333
2009-06-26,89.75
2009-06-27,92.75
2009-06-28,87.625
2009-06-29,86.91666666666667
2009-06-30,83.79166666666667
2009-07-01,82.83333333333333
2009-07-02,87.375
2009-07-03,92.5
2009-07-04,92.75
2009-07-05,96.625
2009-07-06,95.70833333333333
2009-07-07,98.75
2009-07-08,98.625
2009-07-09,97.66666666666667
2009-07-10,95.79166666666667
2009-07-11,96.25
2009-07-12,96.04166666666667
2009-07-13,95.83333333333333
2009-07-14,96.875
2009-07-15,97.16666666666667
2009-07-16,96.58333333333333
2009-07-17,95.91666666666667
2009-07-18,94.95833333333333
2009-07-19,93.625
2009-07-20,95.45833333333333
2009-07-21,95.91666666666667
2009-07-22,97.0
