date, pm25, pm10, o3, no2, so2, co
2020/6/25, 388, 45, 4, 5, 13, 2
2020/6/26, 272, 206, , 4, 22, 1
2020/6/27, 75, 38, , 2, 22, 
2020/6/28, 46, 17, , 2, 22, 
2020/6/29, 23, 10, , 3, 22, 
2020/6/30, 15, 18, , 3, 22, 
2020/5/1, 52, 45, , 2, 3, 
2020/5/2, 51, 324, , 2, 2, 
2020/5/3, 48, 73, 1, 2, 2, 
2020/5/4, 82, 42, 1, , 3, 
2020/5/5, 45, 52, 1, , 5, 1
2020/5/6, 54, 51, 1, 2, 6, 1
2020/5/7, 63, 59, 1, , 5, 1
2020/5/8, 64, 55, 1, , 6, 
2020/5/9, 51, 49, 1, , 6, 
2020/5/10, 49, 59, 1, 6, 6, 1
2020/5/11, 59, 55, 1, 6, 6, 1
2020/5/12, 53, 55, 1, 6, 7, 
2020/5/13, 45, 112, 1, 5, 12, 1
2020/5/14, 84, 65, 1, 5, 24, 2
2020/5/15, 60, 82, 1, 6, 7, 1
2020/5/16, 84, 182, 1, 6, 13, 1
2020/5/17, 173, 448, 1, 6, 48, 
2020/5/18, 436, 116, 1, 6, 70, 1
2020/5/19, 123, 77, 12, 9, 55, 
2020/5/20, 90, 41, 16, 13, , 
2020/5/21, 56, 37, 16, 14, , 
2020/5/22, 48, 44, 14, 15, 6, 
2020/5/23, 54, 38, 12, 13, 7, 
2020/5/24, 45, 46, 13, 8, 7, 
2020/5/25, 50, 49, 13, 6, 7, 
2020/5/26, 49, 43, 13, 6, 7, 
2020/5/27, 43, 39, 13, 6, 7, 
2020/5/28, 41, 24, 11, 6, 7, 
2020/5/29, 28, 29, 8, 6, 7, 
2020/5/30, 29, 34, 10, 6, 7, 
2020/5/31, 35, 42, 19, 13, 7, 1
2020/4/1, 71, 71, 29, 5, 1, 1
2020/4/2, 79, 71, 18, 4, , 1
2020/4/3, 80, 68, 18, 4, 1, 2
2020/4/4, 81, 66, 24, 5, 1, 2
2020/4/5, 94, 57, 16, 3, , 
2020/4/6, 72, 74, 16, 4, , 2
2020/4/7, 95, 83, 14, 4, 1, 1
2020/4/8, 103, 82, 13, 3, 1, 2
2020/4/9, 106, 70, 18, 3, 1, 
2020/4/10, 97, 72, 23, 4, 1, 1
2020/4/11, 108, 65, 20, 5, 2, 1
2020/4/12, 99, 64, 21, 6, 2, 1
2020/4/13, 94, 63, 26, 5, 2, 1
2020/4/14, 93, 65, 26, 5, 3, 3
2020/4/15, 101, 54, 16, 5, 2, 1
2020/4/16, 79, 54, 16, 3, 2, 1
2020/4/17, 76, 54, 20, 4, 2, 1
2020/4/18, 74, 58, 21, 5, 2, 1
2020/4/19, 79, 69, 21, 6, 4, 1
2020/4/20, 91, 62, 17, 5, 3, 2
2020/4/21, 81, 57, 14, 3, 2, 1
2020/4/22, 69, 59, 14, 4, 3, 1
2020/4/23, 73, 51, 12, 3, 3, 1
2020/4/24, 63, 50, 17, 3, 3, 
2020/4/25, 58, 62, 17, 4, 3, 2
2020/4/26, 72, 51, 2, 2, 2, 1
2020/4/27, 65, 54, , 3, 2, 
2020/4/28, 58, 61, , 2, 3, 2
2020/4/29, 70, 56, , 2, 3, 
2020/4/30, 65, 48, , 2, 3, 
2020/3/1, 137, 148, 17, 16, 4, 11
2020/3/2, 160, 102, 12, 24, , 3
2020/3/3, 143, 99, 19, 16, , 3
2020/3/4, 128, 92, 19, 15, 2, 2
2020/3/5, 116, 86, 11, 12, , 1
2020/3/6, 94, 107, 18, 16, 1, 2
2020/3/7, 110, 113, 22, 18, 2, 4
2020/3/8, 109, 120, 23, 20, 3, 7
2020/3/9, 113, 100, 14, 9, 2, 6
2020/3/10, 102, 67, 14, 14, 1, 1
2020/3/11, 68, 76, 15, 14, 2, 2
2020/3/12, 71, 93, 24, 22, 2, 2
2020/3/13, 90, 112, 27, 26, 3, 4
2020/3/14, 102, 160, 34, 20, 6, 11
2020/3/15, 133, 212, 36, 31, 10, 14
2020/3/16, 155, 288, 36, 29, 15, 22
2020/3/17, 162, 168, 27, 21, 10, 13
2020/3/18, 132, 96, 16, 18, 5, 6
2020/3/19, 96, 79, 11, 10, 4, 4
2020/3/20, 80, 72, 16, 9, 2, 3
2020/3/21, 71, 56, 15, 4, 1, 1
2020/3/22, 61, 64, 19, 6, 2, 1
2020/3/23, 70, 84, 26, 7, 2, 3
2020/3/24, 93, 70, 19, 6, 1, 1
2020/3/25, 80, 60, 19, 6, 1, 1
2020/3/26, 71, 66, 24, 4, , 1
2020/3/27, 73, 69, 30, 8, 1, 3
2020/3/28, 82, 67, 33, 5, 1, 1
2020/3/29, 78, 63, 23, 7, 1, 2
2020/3/30, 74, 65, 19, 6, 1, 2
2020/3/31, 75, 62, 23, 5, 1, 2
2020/2/1, 159, 155, 42, 32, 7, 11
2020/2/2, 150, 147, 31, 37, 4, 11
2020/2/3, 150, 120, 33, 39, 4, 6
2020/2/4, 143, 137, 29, 51, 7, 9
2020/2/5, 137, 107, 31, 42, 5, 5
2020/2/6, 111, 154, 28, 42, 6, 8
2020/2/7, 128, 133, 28, 40, 5, 9
2020/2/8, 142, 115, 24, 30, 6, 6
2020/2/9, 126, 106, 26, 34, 6, 5
2020/2/10, 119, 117, 29, 36, 11, 8
2020/2/11, 134, 128, 32, 43, 5, 8
2020/2/12, 142, 197, 24, 36, 5, 11
2020/2/13, 202, 137, 29, 32, 7, 9
2020/2/14, 157, 144, 26, 28, 6, 9
2020/2/15, 151, 154, 39, 35, 7, 8
2020/2/16, 149, 249, 39, 35, 7, 16
2020/2/17, 283, 216, 37, 36, 7, 12
2020/2/18, 173, 263, 34, 29, 6, 12
2020/2/19, 174, 155, 19, 25, 5, 12
2020/2/20, 138, 102, 15, 23, 2, 7
2020/2/21, 118, 141, 32, 33, 7, 10
