Date,TempC
16/08/2009,22.54166667
17/08/2009,23.58333333
18/08/2009,23.75
19/08/2009,24.29166667
20/08/2009,23.75
21/08/2009,22.54166667
22/08/2009,22.79166667
23/08/2009,23.125
24/08/2009,22.29166667
25/08/2009,22.70833333
26/08/2009,22.41666667
27/08/2009,22.25
28/08/2009,22.08333333
29/08/2009,22.79166667
30/08/2009,22.79166667
31/08/2009,23.20833333
01/09/2009,23.04166667
02/09/2009,23
03/09/2009,22.66666667
04/09/2009,21.79166667
05/09/2009,21.625
06/09/2009,21.79166667
07/09/2009,22.70833333
08/09/2009,22.625
09/09/2009,23.33333333
10/09/2009,22.79166667
11/09/2009,22.375
12/09/2009,23.75
13/09/2009,22.16666667
14/09/2009,23.95833333
15/09/2009,23.45833333
16/09/2009,23.04166667
17/09/2009,23.875
18/09/2009,25.29166667
19/09/2009,23.08333333
20/09/2009,24.41666667
21/09/2009,24.83333333
22/09/2009,25.29166667
23/09/2009,25.125
24/09/2009,24.08333333
25/09/2009,24.66666667
26/09/2009,24.75
27/09/2009,24.54166667
28/09/2009,24
29/09/2009,24.95833333
30/09/2009,24.29166667
01/10/2009,25.08333333
02/10/2009,24.66666667
03/10/2009,23.83333333
04/10/2009,23.04166667
05/10/2009,22
06/10/2009,22.91666667
07/10/2009,22.625
08/10/2009,22.20833333
09/10/2009,21.75
10/10/2009,22.33333333
11/10/2009,23.5
12/10/2009,23.16666667
13/10/2009,23.08333333
14/10/2009,20.83333333
15/10/2009,23.75
16/10/2009,24.875
17/10/2009,23.125
18/10/2009,21.41666667
19/10/2009,23.45833333
20/10/2009,23.45833333
21/10/2009,22.95833333
22/10/2009,24.16666667
23/10/2009,23.79166667
24/10/2009,22.625
25/10/2009,22.66666667
26/10/2009,22.58333333
27/10/2009,22.58333333
28/10/2009,23.08333333
29/10/2009,24.20833333
30/10/2009,23.83333333
31/10/2009,23.70833333
01/11/2009,23.625
02/11/2009,23.79166667
03/11/2009,23.70833333
04/11/2009,23.91666667
05/11/2009,24.25
06/11/2009,24.16666667
07/11/2009,25.70833333
08/11/2009,23.95833333
09/11/2009,21.41666667
10/11/2009,20.75
11/11/2009,20.83333333
12/11/2009,21.58333333
13/11/2009,21.16666667
14/11/2009,20.95833333
15/11/2009,22.70833333
16/11/2009,21.66666667
17/11/2009,22.45833333
18/11/2009,22.375
19/11/2009,22
20/11/2009,21.45833333
21/11/2009,21.08333333
22/11/2009,20.66666667
23/11/2009,20.54166667
24/11/2009,20.125
25/11/2009,22.08333333
26/11/2009,22.41666667
27/11/2009,23.375
28/11/2009,21.79166667
29/11/2009,20
30/11/2009,19.41666667
01/12/2009,19.83333333
02/12/2009,20.70833333
03/12/2009,21.125
04/12/2009,22.29166667
05/12/2009,23.16666667
06/12/2009,23.08333333
07/12/2009,22.58333333
08/12/2009,21.91666667
09/12/2009,21.54166667
10/12/2009,21.5
11/12/2009,21.79166667
12/12/2009,21.33333333
13/12/2009,21.875
14/12/2009,24.29166667
15/12/2009,24.16666667
16/12/2009,23.58333333
17/12/2009,22.45833333
18/12/2009,23.41666667
19/12/2009,22.95833333
20/12/2009,23.5
21/12/2009,22.41666667
22/12/2009,22.91666667
23/12/2009,21.91666667
24/12/2009,20.45833333
25/12/2009,18.79166667
26/12/2009,19.125
27/12/2009,18.875
28/12/2009,19.29166667
29/12/2009,18.45833333
30/12/2009,19.95833333
31/12/2009,21.25
01/01/2010,23.08333333
02/01/2010,23.91666667
03/01/2010,24.08333333
04/01/2010,23.625
05/01/2010,23.54166667
06/01/2010,22.5
07/01/2010,21.29166667
08/01/2010,20.25
09/01/2010,21.875
10/01/2010,23.79166667
11/01/2010,23.54166667
12/01/2010,22.41666667
13/01/2010,20.95833333
14/01/2010,21.95833333
15/01/2010,23.41666667
16/01/2010,24
17/01/2010,23.5
18/01/2010,21.83333333
19/01/2010,22.41666667
20/01/2010,21.66666667
21/01/2010,21.66666667
22/01/2010,20.5
23/01/2010,20
24/01/2010,20.54166667
25/01/2010,21.45833333
26/01/2010,21.54166667
27/01/2010,21.375
28/01/2010,22.04166667
29/01/2010,23
30/01/2010,23.125
31/01/2010,23.41666667
01/02/2010,23.91666667
02/02/2010,22.875
03/02/2010,21.625
04/02/2010,21.875
05/02/2010,23.16666667
06/02/2010,23.20833333
07/02/2010,23.625
08/02/2010,23.95833333
09/02/2010,23
10/02/2010,23.41666667
11/02/2010,23.125
12/02/2010,23.08333333
13/02/2010,23.375
14/02/2010,23.91666667
15/02/2010,24.16666667
16/02/2010,25.875
17/02/2010,26.75
18/02/2010,26.58333333
19/02/2010,25.91666667
20/02/2010,26.16666667
21/02/2010,26.625
22/02/2010,26.375
23/02/2010,24.66666667
24/02/2010,21.45833333
25/02/2010,21.75
26/02/2010,23.625
27/02/2010,25.25
28/02/2010,26.66666667
01/03/2010,27.41666667
02/03/2010,27.5
03/03/2010,25.79166667
04/03/2010,25.375
05/03/2010,25
06/03/2010,24.20833333
07/03/2010,23.83333333
08/03/2010,26.08333333
09/03/2010,28.58333333
10/03/2010,29.95833333
11/03/2010,28.75
12/03/2010,29.04166667
13/03/2010,29.66666667
14/03/2010,27.66666667
15/03/2010,26.08333333
16/03/2010,26.79166667
17/03/2010,28.08333333
18/03/2010,28.20833333
19/03/2010,29.58333333
20/03/2010,29.41666667
21/03/2010,29.66666667
22/03/2010,29.41666667
23/03/2010,28.41666667
24/03/2010,27.625
25/03/2010,27.5
26/03/2010,27.75
27/03/2010,28.33333333
28/03/2010,28.5
29/03/2010,25.5
30/03/2010,26.20833333
31/03/2010,25.33333333
01/04/2010,24.70833333
02/04/2010,26.08333333
03/04/2010,28.625
04/04/2010,29.58333333
05/04/2010,30
06/04/2010,30.625
07/04/2010,30.70833333
08/04/2010,31.16666667
09/04/2010,27.875
10/04/2010,29
11/04/2010,30.58333333
12/04/2010,31.20833333
13/04/2010,29.08333333
14/04/2010,29
15/04/2010,30.70833333
16/04/2010,30.375
17/04/2010,30.16666667
18/04/2010,29.75
19/04/2010,28.58333333
20/04/2010,28.58333333
21/04/2010,29.45833333
22/04/2010,30.5
23/04/2010,30.70833333
24/04/2010,31.16666667
25/04/2010,30.95833333
26/04/2010,31.5
27/04/2010,31.54166667
28/04/2010,30.125
29/04/2010,30.41666667
30/04/2010,26.58333333
01/05/2010,28.20833333
02/05/2010,29.08333333
03/05/2010,29.625
04/05/2010,30.41666667
05/05/2010,30.04166667
06/05/2010,29.875
07/05/2010,30.5
08/05/2010,31.625
09/05/2010,31.04166667
10/05/2010,31.54166667
11/05/2010,30.91666667
12/05/2010,29.66666667
13/05/2010,29.16666667
14/05/2010,29.29166667
15/05/2010,29.45833333
16/05/2010,29.875
17/05/2010,30.33333333
18/05/2010,32.33333333
19/05/2010,31.45833333
20/05/2010,29.95833333
21/05/2010,29.75
22/05/2010,29.79166667
23/05/2010,29.58333333
24/05/2010,29.66666667
25/05/2010,28.875
26/05/2010,28.33333333
27/05/2010,27.91666667
28/05/2010,28.41666667
29/05/2010,28.83333333
30/05/2010,28.95833333
31/05/2010,28.91666667
01/06/2010,28.66666667
02/06/2010,27.70833333
03/06/2010,28.125
04/06/2010,28.25
05/06/2010,27.625
06/06/2010,26.83333333
07/06/2010,25.75
08/06/2010,26.41666667
09/06/2010,27.41666667
10/06/2010,27.41666667
11/06/2010,27.04166667
12/06/2010,28.29166667
13/06/2010,27.91666667
14/06/2010,25.58333333
15/06/2010,23.33333333
16/06/2010,23.29166667
17/06/2010,24.33333333
18/06/2010,24.95833333
19/06/2010,24.91666667
20/06/2010,25.08333333
21/06/2010,24.125
22/06/2010,24.58333333
23/06/2010,24.79166667
24/06/2010,23.66666667
25/06/2010,23.95833333
26/06/2010,25.33333333
27/06/2010,24.625
28/06/2010,24.5
29/06/2010,23.91666667
30/06/2010,24.375
01/07/2010,23.5
02/07/2010,22.45833333
03/07/2010,22.41666667
04/07/2010,23.16666667
05/07/2010,23.33333333
06/07/2010,22.75
07/07/2010,23.04166667
08/07/2010,23.20833333
09/07/2010,22.95833333
10/07/2010,23.95833333
11/07/2010,23.20833333
12/07/2010,23.33333333
13/07/2010,23.16666667
14/07/2010,23.125
15/07/2010,23.125
16/07/2010,24.04166667
17/07/2010,23.41666667
18/07/2010,24.04166667
19/07/2010,24.08333333
20/07/2010,23.66666667
21/07/2010,23.54166667
22/07/2010,22.83333333
23/07/2010,22.91666667
24/07/2010,22.75
25/07/2010,21.95833333
26/07/2010,21.79166667
27/07/2010,22.70833333
28/07/2010,22.79166667
29/07/2010,23.25
30/07/2010,23.75
31/07/2010,22.08333333
01/08/2010,22.08333333
02/08/2010,21.79166667
03/08/2010,21.66666667
04/08/2010,22.33333333
05/08/2010,23.25
06/08/2010,22.70833333
07/08/2010,20.79166667
08/08/2010,22.04166667
09/08/2010,22.95833333
10/08/2010,23.625
11/08/2010,24.08333333
12/08/2010,24.54166667
13/08/2010,23.66666667
14/08/2010,22.91666667
15/08/2010,24.33333333
16/08/2010,24.33333333
17/08/2010,23.75
18/08/2010,22.66666667
19/08/2010,23.375
20/08/2010,23.45833333
21/08/2010,23.29166667
22/08/2010,23.75
23/08/2010,23.41666667
24/08/2010,23.625
25/08/2010,23.79166667
26/08/2010,23.91666667
27/08/2010,23.5
28/08/2010,24.33333333
29/08/2010,22.95833333
30/08/2010,21.79166667
31/08/2010,21.58333333
01/09/2010,22.45833333
02/09/2010,23.04166667
