Date,WindSpeedKmph
2009-01-01,4.5
2009-01-02,5.458333333333333
2009-01-03,3.75
2009-01-04,2.5833333333333335
2009-01-05,4.791666666666667
2009-01-06,5.25
2009-01-07,3.7083333333333335
2009-01-08,4.875
2009-01-09,5.083333333333333
2009-01-10,4.958333333333333
2009-01-11,4.333333333333333
2009-01-12,3.8333333333333335
2009-01-13,7.25
2009-01-14,8.458333333333334
2009-01-15,8.708333333333334
2009-01-16,7.958333333333333
2009-01-17,5.291666666666667
2009-01-18,6.125
2009-01-19,6.875
2009-01-20,6.666666666666667
2009-01-21,4.791666666666667
2009-01-22,4.416666666666667
2009-01-23,7.083333333333333
2009-01-24,4.708333333333333
2009-01-25,3.7916666666666665
2009-01-26,4.708333333333333
2009-01-27,4.25
2009-01-28,4.708333333333333
2009-01-29,4.5
2009-01-30,4.5
2009-01-31,4.625
2009-02-01,5.625
2009-02-02,5.666666666666667
2009-02-03,5.916666666666667
2009-02-04,5.708333333333333
2009-02-05,5.291666666666667
2009-02-06,4.458333333333333
2009-02-07,5.083333333333333
2009-02-08,4.708333333333333
2009-02-09,5.166666666666667
2009-02-10,8.958333333333334
2009-02-11,5.333333333333333
2009-02-12,6.208333333333333
2009-02-13,5.791666666666667
2009-02-14,5.375
2009-02-15,4.541666666666667
2009-02-16,5.791666666666667
2009-02-17,5.916666666666667
2009-02-18,4.208333333333333
2009-02-19,4.625
2009-02-20,6.583333333333333
2009-02-21,5.583333333333333
2009-02-22,5.25
2009-02-23,4.5
2009-02-24,8.291666666666666
2009-02-25,5.583333333333333
2009-02-26,4.208333333333333
2009-02-27,5.916666666666667
2009-02-28,5.583333333333333
2009-03-01,4.375
2009-03-02,5.166666666666667
2009-03-03,4.041666666666667
2009-03-04,6.0
2009-03-05,5.958333333333333
2009-03-06,6.083333333333333
2009-03-07,5.208333333333333
2009-03-08,6.583333333333333
2009-03-09,6.333333333333333
2009-03-10,7.0
2009-03-11,4.958333333333333
2009-03-12,4.416666666666667
2009-03-13,5.791666666666667
2009-03-14,7.333333333333333
2009-03-15,5.416666666666667
2009-03-16,4.916666666666667
2009-03-17,5.291666666666667
2009-03-18,6.5
2009-03-19,6.583333333333333
2009-03-20,8.458333333333334
2009-03-21,6.833333333333333
2009-03-22,4.291666666666667
2009-03-23,4.541666666666667
2009-03-24,5.166666666666667
2009-03-25,5.583333333333333
2009-03-26,7.458333333333333
2009-03-27,5.958333333333333
2009-03-28,7.166666666666667
2009-03-29,5.0
2009-03-30,4.5
2009-03-31,5.916666666666667
2009-04-01,6.291666666666667
2009-04-02,6.25
2009-04-03,5.083333333333333
2009-04-04,6.166666666666667
2009-04-05,4.625
2009-04-06,8.208333333333334
2009-04-07,7.416666666666667
2009-04-08,8.291666666666666
2009-04-09,5.125
2009-04-10,5.666666666666667
2009-04-11,6.625
2009-04-12,8.208333333333334
2009-04-13,5.416666666666667
2009-04-14,7.708333333333333
2009-04-15,8.416666666666666
2009-04-16,6.583333333333333
2009-04-17,7.625
2009-04-18,6.041666666666667
2009-04-19,6.625
2009-04-20,10.5
2009-04-21,10.125
2009-04-22,9.666666666666666
2009-04-23,6.708333333333333
2009-04-24,5.125
2009-04-25,5.166666666666667
2009-04-26,5.583333333333333
2009-04-27,5.958333333333333
2009-04-28,5.458333333333333
2009-04-29,5.833333333333333
2009-04-30,8.166666666666666
2009-05-01,9.208333333333334
2009-05-02,8.916666666666666
2009-05-03,9.541666666666666
2009-05-04,9.333333333333334
2009-05-05,8.625
2009-05-06,8.125
2009-05-07,5.666666666666667
2009-05-08,7.541666666666667
2009-05-09,9.541666666666666
2009-05-10,10.5
2009-05-11,12.291666666666666
2009-05-12,10.333333333333334
2009-05-13,10.5
2009-05-14,11.75
2009-05-15,12.291666666666666
2009-05-16,10.375
2009-05-17,9.208333333333334
2009-05-18,7.208333333333333
2009-05-19,7.041666666666667
2009-05-20,7.208333333333333
2009-05-21,6.583333333333333
2009-05-22,9.666666666666666
2009-05-23,10.208333333333334
2009-05-24,11.291666666666666
2009-05-25,10.083333333333334
2009-05-26,9.416666666666666
2009-05-27,8.958333333333334
2009-05-28,9.916666666666666
2009-05-29,11.416666666666666
2009-05-30,11.041666666666666
2009-05-31,10.666666666666666
2009-06-01,11.708333333333334
2009-06-02,9.791666666666666
